s,d2xds2,d2yds2,d2zds2
3.159595959595959513e+01,-6.661338147750939243e-16,0.000000000000000000e+00,0.000000000000000000e+00
3.296969696969696884e+01,6.661338147750939243e-16,0.000000000000000000e+00,0.000000000000000000e+00
3.434343434343434609e+01,-6.106226635438360972e-16,0.000000000000000000e+00,0.000000000000000000e+00
3.571717171717172334e+01,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
3.709090909090909349e+01,1.942890293094023946e-15,0.000000000000000000e+00,0.000000000000000000e+00
3.846464646464646364e+01,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
3.983838383838384090e+01,-1.332267629550187849e-15,0.000000000000000000e+00,0.000000000000000000e+00
4.121212121212121815e+01,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
4.258585858585858830e+01,1.942890293094023946e-15,0.000000000000000000e+00,0.000000000000000000e+00
4.395959595959595845e+01,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
4.533333333333333570e+01,-2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
4.670707070707071296e+01,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
4.808080808080808310e+01,2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
4.945454545454545325e+01,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
5.082828282828283051e+01,-2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.220202020202020776e+01,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
5.357575757575757791e+01,2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.494949494949494806e+01,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
5.632323232323232531e+01,-2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
5.769696969696970257e+01,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
5.907070707070707272e+01,2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
6.044444444444444287e+01,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
6.181818181818182012e+01,-1.276756478318930021e-15,0.000000000000000000e+00,0.000000000000000000e+00
6.319191919191919737e+01,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
6.456565656565656752e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.593939393939393767e+01,1.276756478318930021e-15,0.000000000000000000e+00,0.000000000000000000e+00
6.731313131313130782e+01,-1.221245327087672194e-15,0.000000000000000000e+00,0.000000000000000000e+00
6.868686868686869218e+01,-1.332267629550187849e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.006060606060606233e+01,2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.143434343434343248e+01,-1.221245327087672194e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.280808080808081684e+01,-1.332267629550187849e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.418181818181818699e+01,1.276756478318930021e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.555555555555555713e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.692929292929292728e+01,1.276756478318930021e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.830303030303029743e+01,-1.221245327087672194e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.967676767676768179e+01,-1.332267629550187849e-15,0.000000000000000000e+00,0.000000000000000000e+00
8.105050505050505194e+01,2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
8.242424242424242209e+01,-1.221245327087672194e-15,0.000000000000000000e+00,0.000000000000000000e+00
8.379797979797980645e+01,-1.332267629550187849e-15,0.000000000000000000e+00,0.000000000000000000e+00
8.517171717171717660e+01,1.276756478318930021e-15,0.000000000000000000e+00,0.000000000000000000e+00
8.654545454545454675e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.791919191919191690e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.929292929292928704e+01,-2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
9.066666666666667140e+01,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
9.204040404040404155e+01,2.609024107869117870e-15,0.000000000000000000e+00,0.000000000000000000e+00
9.341414141414141170e+01,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
9.478787878787879606e+01,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
9.616161616161616621e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.753535353535353636e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.890909090909090651e+01,2.609024107869117870e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.002828282828282767e+02,-2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.016565656565656610e+02,-2.664535259100375697e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.030303030303030312e+02,5.218048215738235740e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.044040404040404013e+02,-2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.057777777777777857e+02,-2.664535259100375697e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.071515151515151558e+02,2.609024107869117870e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.085252525252525260e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.098989898989898961e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.112727272727272663e+02,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
1.126464646464646506e+02,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
1.140202020202020208e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.153939393939393909e+02,-2.553512956637860043e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.167676767676767753e+02,-5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
1.181414141414141454e+02,2.609024107869117870e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.195151515151515156e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.208888888888888857e+02,2.609024107869117870e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.222626262626262559e+02,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
1.236363636363636402e+02,-2.664535259100375697e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.250101010101010104e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.263838383838383805e+02,5.551115123125782702e-17,0.000000000000000000e+00,0.000000000000000000e+00
1.277575757575757649e+02,2.609024107869117870e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.291313131313131066e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.305050505050504910e+02,-2.609024107869117870e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.318787878787878753e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.332525252525252313e+02,-2.669697070423193708e-05,3.365101644678098781e-03,0.000000000000000000e+00
1.346262626262626156e+02,-3.515993618774526652e-04,1.612430034603116319e-02,0.000000000000000000e+00
1.356099523840207155e+02,-1.049921056615055193e-03,2.753429326756719198e-02,0.000000000000000000e+00
1.365936421417787869e+02,-2.045417871899379847e-03,3.218501466048315912e-02,0.000000000000000000e+00
1.375773318995368868e+02,-3.065552095453116799e-03,3.210391398749123243e-02,0.000000000000000000e+00
1.385610216572949867e+02,-4.082599567939659835e-03,3.199048739444722289e-02,0.000000000000000000e+00
1.395447114150530581e+02,-5.095536208736206607e-03,3.184484909230710092e-02,0.000000000000000000e+00
1.405284011728111295e+02,-6.103342076468842858e-03,3.166714572650737580e-02,0.000000000000000000e+00
1.415120909305692578e+02,-7.105002396085580152e-03,3.145755622927562389e-02,0.000000000000000000e+00
1.424957806883273292e+02,-8.099508580561187721e-03,3.121629163945556507e-02,0.000000000000000000e+00
1.434794704460854291e+02,-9.085859246462935079e-03,3.094359489005094055e-02,0.000000000000000000e+00
1.444631602038435290e+02,-1.006306122229472244e-02,3.063974056356980058e-02,0.000000000000000000e+00
1.454468499616016004e+02,-1.103013054846602170e-02,3.030503461555184019e-02,0.000000000000000000e+00
1.464305397193597003e+02,-1.198609346816964516e-02,2.993981406652990174e-02,0.000000000000000000e+00
1.474142294771178001e+02,-1.292998740777145938e-02,2.954444666263519870e-02,0.000000000000000000e+00
1.483979192348759000e+02,-1.386086194605190558e-02,2.911933050532744538e-02,0.000000000000000000e+00
